sample_name,target_name,locus_id,ct_value,type
G-N3R1,OsMADS01 LHS1,LOC_Os03g11614,15.63077201,Test
G-N3R2,OsMADS01 LHS1,LOC_Os03g11614,12.11153718,Test
G-N3R3,OsMADS01 LHS1,LOC_Os03g11614,11.185978,Test
G-N4R1,OsMADS01 LHS1,LOC_Os03g11614,8.544343158,Test
G-N4R2,OsMADS01 LHS1,LOC_Os03g11614,8.230073628,Test
G-N4R3,OsMADS01 LHS1,LOC_Os03g11614,9.5429494,Test
B-N1R1,OsMADS01 LHS1,LOC_Os03g11614,21.76812266,Test
B-N1R2,OsMADS01 LHS1,LOC_Os03g11614,999,Test
B-N1R3,OsMADS01 LHS1,LOC_Os03g11614,999,Test
B-N2R1,OsMADS01 LHS1,LOC_Os03g11614,22.43274518,Test
B-N2R2,OsMADS01 LHS1,LOC_Os03g11614,20.92828638,Test
B-N2R3,OsMADS01 LHS1,LOC_Os03g11614,21.07365468,Test
B-N3R1,OsMADS01 LHS1,LOC_Os03g11614,11.45242637,Test
B-N3R2,OsMADS01 LHS1,LOC_Os03g11614,10.49084529,Test
B-N3R3,OsMADS01 LHS1,LOC_Os03g11614,10.72283315,Test
B-N4R1,OsMADS01 LHS1,LOC_Os03g11614,8.414912721,Test
B-N4R2,OsMADS01 LHS1,LOC_Os03g11614,8.923610292,Test
B-N4R3,OsMADS01 LHS1,LOC_Os03g11614,8.130269264,Test
I-N1R1,OsMADS01 LHS1,LOC_Os03g11614,20.15616434,Test
I-N1R2,OsMADS01 LHS1,LOC_Os03g11614,21.79136246,Test
I-N1R3,OsMADS01 LHS1,LOC_Os03g11614,20.29835484,Test
I-N2R1,OsMADS01 LHS1,LOC_Os03g11614,18.60690714,Test
I-N2R2,OsMADS01 LHS1,LOC_Os03g11614,17.4743687,Test
I-N2R3,OsMADS01 LHS1,LOC_Os03g11614,16.94049481,Test
I-N3R1,OsMADS01 LHS1,LOC_Os03g11614,11.27500778,Test
I-N3R2,OsMADS01 LHS1,LOC_Os03g11614,11.8992395,Test
I-N3R3,OsMADS01 LHS1,LOC_Os03g11614,11.52224506,Test
I-N4R1,OsMADS01 LHS1,LOC_Os03g11614,8.15661649,Test
I-N4R2,OsMADS01 LHS1,LOC_Os03g11614,8.283739775,Test
I-N4R3,OsMADS01 LHS1,LOC_Os03g11614,7.98866726,Test
R-N1R1,OsMADS01 LHS1,LOC_Os03g11614,999,Test
R-N1R2,OsMADS01 LHS1,LOC_Os03g11614,21.79578493,Test
R-N1R3,OsMADS01 LHS1,LOC_Os03g11614,23.1811411,Test
R-N2R1,OsMADS01 LHS1,LOC_Os03g11614,19.90308714,Test
R-N2R2,OsMADS01 LHS1,LOC_Os03g11614,20.00414028,Test
R-N2R3,OsMADS01 LHS1,LOC_Os03g11614,19.74274762,Test
R-N3R1,OsMADS01 LHS1,LOC_Os03g11614,14.44860957,Test
R-N3R2,OsMADS01 LHS1,LOC_Os03g11614,10.76354648,Test
R-N3R3,OsMADS01 LHS1,LOC_Os03g11614,13.00096539,Test
R-N4R1,OsMADS01 LHS1,LOC_Os03g11614,6.542917505,Test
R-N4R2,OsMADS01 LHS1,LOC_Os03g11614,8.408701139,Test
R-N4R3,OsMADS01 LHS1,LOC_Os03g11614,7.658221147,Test
